"filename", "language", "TypeScript", "SCSS", "XML", "Vue", "comment", "blank", "total"
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/App.vue", "Vue", 0, 0, 0, 16, 5, 3, 24
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/assets/css/main.scss", "SCSS", 0, 18, 0, 0, 0, 6, 24
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/assets/svg/alert.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/assets/svg/arrow.svg", "XML", 0, 0, 5, 0, 0, 1, 6
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/assets/svg/checkmark.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/assets/svg/close.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/assets/svg/closeSmall.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/assets/svg/dropdown.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/assets/svg/easyCVworkLogo.svg", "XML", 0, 0, 4, 0, 0, 1, 5
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/assets/svg/edit.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/assets/svg/eyeClose.svg", "XML", 0, 0, 10, 0, 0, 1, 11
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/assets/svg/eyeOpen.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/assets/svg/plusBtn.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/assets/svg/remove.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/components/BaseButton.vue", "Vue", 0, 0, 0, 44, 0, 5, 49
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/components/BaseForm.vue", "Vue", 0, 0, 0, 337, 1, 61, 399
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/components/BaseJob.vue", "Vue", 0, 0, 0, 186, 0, 31, 217
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/components/BaseSecondaryButton.vue", "Vue", 0, 0, 0, 49, 0, 8, 57
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/components/BaseSlider.vue", "Vue", 0, 0, 0, 133, 0, 21, 154
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/components/BaseToaster.vue", "Vue", 0, 0, 0, 62, 0, 12, 74
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/components/ContainerMain.vue", "Vue", 0, 0, 0, 17, 0, 3, 20
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/components/HeaderMain.vue", "Vue", 0, 0, 0, 119, 0, 27, 146
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/components/HelloWorld.vue", "Vue", 0, 0, 0, 24, 29, 5, 58
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/components/MotoWizzard.vue", "Vue", 0, 0, 0, 93, 0, 15, 108
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/components/chips/BaseChip.vue", "Vue", 0, 0, 0, 52, 0, 10, 62
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/components/chips/BaseChips.vue", "Vue", 0, 0, 0, 141, 0, 20, 161
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/components/cvThumbnail.vue", "Vue", 0, 0, 0, 68, 0, 12, 80
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/components/dropdown/BaseDropdown.vue", "Vue", 0, 0, 0, 258, 1, 53, 312
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/components/dropdown/BaseDropdownContent.vue", "Vue", 0, 0, 0, 32, 0, 4, 36
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/components/dropdown/BaseDropdownItem.vue", "Vue", 0, 0, 0, 45, 0, 9, 54
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/components/dropdown/CalendarDropdownContent.vue", "Vue", 0, 0, 0, 30, 0, 4, 34
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/components/dropdown/CalendarDropdownItem.vue", "Vue", 0, 0, 0, 48, 0, 10, 58
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/components/inputs/BaseInput.vue", "Vue", 0, 0, 0, 216, 1, 45, 262
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/components/inputs/CvInput.vue", "Vue", 0, 0, 0, 151, 1, 31, 183
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/components/wizzard/BaseWizzard.vue", "Vue", 0, 0, 0, 50, 0, 6, 56
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/components/wizzard/wizzardPoint.vue", "Vue", 0, 0, 0, 82, 0, 12, 94
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/helpers/dateFormat.ts", "TypeScript", 27, 0, 0, 0, 0, 4, 31
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/helpers/pinia.ts", "TypeScript", 12, 0, 0, 0, 0, 1, 13
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/helpers/user.ts", "TypeScript", 175, 0, 0, 0, 1, 31, 207
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/main.ts", "TypeScript", 11, 0, 0, 0, 0, 5, 16
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/router/index.ts", "TypeScript", 48, 0, 0, 0, 4, 4, 56
"/Users/ivankordonets/Documents/projectCss/easycv-work-app/src/shims-vue.d.ts", "TypeScript", 5, 0, 0, 0, 1, 1, 7
"Total", "-", 278, 18, 46, 2253, 44, 471, 3110